lag,correlation
1,3
2,2
3,9
4,8
5,3
6,-2
7,-5
8,-8
9,1
10,-12
11,7
12,-2
13,-5
14,0
15,5
16,-2
17,5
18,0
19,9
20,0
21,19
22,10
23,13
24,2
25,3
26,-8
27,7
28,-16
29,-11
30,-8
31,7
32,-2
33,11
34,-4
35,-1
36,-6
37,7
38,-8
39,-7
40,-4
41,3
42,6
43,7
44,0
45,-5
46,8
47,11
48,-6
49,3
50,4
51,1
52,-8
53,-9
54,-14
55,-1
56,6
57,-19
58,6
59,5
60,2
61,-1
62,-4
63,1
64,12
65,-3
66,-6
67,-7
68,-2
69,9
70,0
71,-1
72,2
73,9
74,-4
75,-19
76,-4
77,-3
78,6
79,-5
80,10
81,-3
82,-8
83,-3
84,-2
85,9
86,6
87,-5
88,-10
89,11
90,8
91,-5
92,0
93,-7
94,-18
95,-1
96,-6
97,-5
98,-2
99,-11
100,14
101,1
102,4
103,-1
104,10
105,-5
106,4
107,1
108,-2
109,7
110,-2
111,-7
112,2
113,9
114,6
115,1
116,12
117,-11
118,-20
119,13
120,2
121,-7
122,-6
123,-11
124,12
125,-1
126,10
127,3
128,6
129,-11
130,0
131,-1
132,-12
133,-1
134,12
135,1
136,10
137,-19
138,-10
139,-1
140,-4
141,-3
142,4
143,-1
144,-6
145,9
146,2
147,-5
148,-2
149,-7
150,-12
151,-3
152,0
153,-1
154,-4
155,5
156,-6
157,1
158,0
159,-5
160,0
161,-5
162,0
163,-3
164,8
165,-7
166,0
167,-5
168,-12
169,-1
170,0
171,5
172,8
173,3
174,14
175,-13
176,-8
177,1
178,0
179,-1
180,-10
181,-15
182,-4
183,-3
184,-8
185,-13
186,4
187,-5
188,-4
189,-1
190,0
191,1
192,6
193,-1
194,2
195,3
196,-18
197,-1
198,0
199,3
200,0
201,-13
202,-16
203,15
204,6
205,13
206,2
207,11
208,-12
209,-3
210,-10
211,9
212,-14
213,1
214,-4
215,11
216,0
217,-9
218,14
219,-7
220,8
221,-1
222,20
223,-3
224,2
225,1
226,2
227,-15
228,-14
229,-7
230,-10
231,-9
232,12
233,5
234,-14
235,-3
236,6
237,-9
238,8
239,-3
240,4
241,7
242,8
243,-11
244,-6
245,5
246,-8
247,-1
248,-6
249,3
250,-6
251,9
252,-8
253,13
254,2
255,7
256,0
257,13
258,-6
259,7
260,-12
261,-1
262,-6
263,-3
264,14
265,-3
266,8
267,7
268,14
269,-1
270,-8
271,-7
272,8
273,3
274,-4
275,1
276,6
277,-5
278,2
279,7
280,16
281,5
282,2
283,3
284,-6
285,3
286,-6
287,7
288,10
289,15
290,4
291,5
292,8
293,11
294,-2
295,-3
296,0
297,13
298,-4
299,3
300,6
301,-1
302,10
303,7
304,0
305,-3
306,-6
307,-1
308,2
309,-3
310,-8
311,-11
312,0
313,1
314,0
315,-3
316,-14
317,-11
318,14
319,1
320,2
321,-1
322,4
323,1
324,-8
325,-3
326,0
327,1
328,8
329,-5
330,-8
331,3
332,-10
333,-7
334,4
335,7
336,-12
337,5
338,-2
339,5
340,8
341,7
342,-4
343,-11
344,0
345,1
346,-4
347,-5
348,-16
349,3
350,0
351,1
352,-12
353,-3
354,4
355,-1
356,6
357,11
358,-4
359,-11
360,-12
361,-9
362,-8
363,-5
364,-2
365,-3
366,-2
367,-1
368,-6
369,-11
370,0
371,-5
372,-8
373,-3
374,2
375,11
376,-2
377,11
378,8
379,-7
380,24
381,-7
382,-8
383,3
384,-6
385,1
386,-2
387,9
388,4
389,7
390,-6
391,-1
392,6
393,11
394,0
395,-5
396,-4
397,-13
398,2
399,11
400,-10
401,-1
402,-2
403,-3
404,2
405,-1
406,4
407,-3
408,-6
409,1
410,12
411,-1
412,-6
413,-1
414,6
415,13
416,6
417,-3
418,2
419,3
420,-8
421,-3
422,-4
423,-3
424,-18
425,1
426,-2
427,3
428,-10
429,-9
430,-4
431,3
432,10
433,-3
434,-2
435,-5
436,12
437,-9
438,0
439,-1
440,-2
441,1
442,-4
443,3
444,2
445,7
446,2
447,3
448,4
449,7
450,8
451,9
452,6
453,3
454,6
455,-1
456,2
457,9
458,-6
459,-11
460,0
461,3
462,-4
463,-11
464,6
465,1
466,-4
467,1
468,4
469,1
470,-6
471,1
472,4
473,-1
474,0
475,1
476,-2
477,1
478,4
479,-3
480,-2
481,1
482,4
483,7
484,-4
485,5
486,0
487,-3
488,2
489,-1
490,2
491,-3
492,0
493,3
494,0
495,-5
496,2
497,-1
498,0
499,5
500,2
501,-3
502,-4
503,3
504,0
505,-3
506,2
507,1
508,-4
509,-1
510,2
511,1
